finding,path,line,text
HISTORICAL_OLD_TEST_CLAIM,project-control/RUN_LOG.jsonl,3,"{""schema_version"":""1.0.0"",""generated_at"":""2026-08-01T17:23:36.0004528-04:00"",""session_id"":""019fbee5-48a2-7f30-8cab-fd850d853a97"",""trace_id"":""ai-idp-deployment-verification-2026-08-01"",""event"":{""seq"":1000,""timestamp"":""2026-08-01T17:23:36.0004528-04:00"",""phase"":""PHASE-A"",""agent"":""Codex-/root"",""action"":""deployment_verification_and_paper_correction"",""status"":""complete"",""detail"":{""authorization"":""Pierre-Edward Procyk explicitly authorized the required corrective work and requested configured logging "
CONFIG_PLACEHOLDER,release/FINAL_COMPLETION_REPORT.md,133,export AEGISTRACE_PG_HOST=your-db-host
CONFIG_PLACEHOLDER,release/FINAL_COMPLETION_REPORT.md,136,export AEGISTRACE_PG_USER=your-user
CONFIG_PLACEHOLDER,release/FINAL_COMPLETION_REPORT.md,168,export AEGISTRACE_GITHUB_TOKEN=ghp_your_pat_here
CONFIG_PLACEHOLDER,release/FINAL_COMPLETION_REPORT.md,169,export AEGISTRACE_GITHUB_OWNER=your-github-username-or-org
CONFIG_PLACEHOLDER,release/FINAL_COMPLETION_REPORT.md,170,export AEGISTRACE_GITHUB_PUBLIC_REPO=your-public-verification-repo
CONFIG_PLACEHOLDER,release/FINAL_COMPLETION_REPORT.md,171,export AEGISTRACE_GITHUB_PRIVATE_REPO=your-private-evidence-repo  # optional
DEPLOYMENT_PLACEHOLDER,scripts/build_government_pdfs.py,602,"if ""[INSERT "" in markdown or ""[ARXIV LINK]"" in markdown or ""[GITHUB LINK]"" in markdown:"
DEPLOYMENT_PLACEHOLDER,scripts/build_next_ai_handoff.py,286,"""DEPLOYMENT_PLACEHOLDER"": re.compile(r""\[INSERT [^\]]+\]|\[(?:ARXIV|GITHUB) LINK\]|2607\.X+""),"
CONFIG_PLACEHOLDER,scripts/build_next_ai_handoff.py,291,"r""ghp_your_pat_here|your-(?:db-host|user|github-username-or-org|public-verification-repo|private-evidence-repo)"","
HISTORICAL_OLD_TEST_CLAIM,scripts/build_next_ai_handoff.py,430,"2. **Twelve PDFs and both DOCX files are demonstrably stale against the release contract.** Visible identifiers include v1.0.0 or v1.1.0 and 2026-07-24. Several materially disagree with their current Markdown sources, including 89 tests versus 113. The two paper PDFs do not expose release version/date markers in extractable text and are separately recorded as unverified release facts, although the paper was previously compiled and visually inspected."
VALIDATION_GUARD_OLD_TEST_COUNT,scripts/build_release_derivatives.py,102,"forbidden_text=_forbidden(""89 passing tests""),"
VALIDATION_GUARD_OLD_TEST_COUNT,scripts/build_release_derivatives.py,121,"forbidden_text=_forbidden(""89 passing tests""),"
VALIDATION_GUARD_OLD_TEST_COUNT,scripts/build_release_derivatives.py,271,"forbidden_text=_forbidden(""89 passing tests""),"
CONFIG_PLACEHOLDER,src/aegistrace/adapters/github_remote.py,32,3. Set AEGISTRACE_GITHUB_OWNER=<your-github-username-or-org>
