path,extension,bytes,sha256,numbered_handoff_archives,in_numbered_handoff
docs/offline-guide.md,.md,1901,9D4604982549B7C2E301A59C8CD873F241C14B907E684A549152C8DB7D941BF9,AI-IDP-07-RESEARCH.zip,True
docs/privacy-guide.md,.md,1747,79ECAE3E360E9ABBD159AA39629D3ED8F4C1BCCA7CCBBD1F86D2ED1E219D6A98,AI-IDP-07-RESEARCH.zip,True
docs/quickstart.md,.md,1558,54F0FB455C8845DB6E32F164C8DDDE0F5CF6C7A0B5E9EEF295A70B37862FB22B,AI-IDP-07-RESEARCH.zip,True
docs/recovery-guide.md,.md,1287,26487EF2AAE5046129EA928711030BBDFF6CE433D7C709ED8F65B1533C69E6C3,AI-IDP-07-RESEARCH.zip,True
docs/regulator-guide.md,.md,2541,E8679E5065045BAA1E5CD5E1D808D2C3EC26C3DC7A70F87406955BD304533124,AI-IDP-07-RESEARCH.zip,True
docs/security-guide.md,.md,1776,74FF876BBF0DA583EBB67B68C4698C3D720EE5E7587894E1DEF97E7999B2C4C8,AI-IDP-07-RESEARCH.zip,True
DOCUMENT_IDENTITY_RULES.md,.md,5445,D1C01D1E112FE489A496CF6E0EE5A577F52C9EF306DE96414FF51B5A1DBE3A07,,False
DOCUMENT_OFFICIEL_PROJET_FR.pdf,.pdf,2956932,EA6D7FDA0176A2C7520FF905F045A49953A94036C53CEFC9B3DCC6DAA268A535,AI-IDP-10-ROOT-AND-DELIVERABLES.zip,True
examples/federal-coding-agent/README.md,.md,2825,0A82A964FD39A887868C9BB502D12B4C446C284E980CA4E578B142ECAA35C236,AI-IDP-07-RESEARCH.zip,True
examples/incident-reconstruction/README.md,.md,2856,9B5B64A1285F22A4826C5224BD16DA19395ABA52243058DC7B80061E7D413D80,AI-IDP-07-RESEARCH.zip,True
examples/vibe-coding-project/README.md,.md,1885,48E4540638C329B68067B1CA75D4697DDD5DF34D1C125EC65640C1EED5B7B758,AI-IDP-07-RESEARCH.zip,True
FILING_INSTRUCTIONS.md,.md,16437,62C17B3691603C665AC6AE222CD2642D801ACAD860027710B446802801728709,AI-IDP-10-ROOT-AND-DELIVERABLES.zip,True
GITHUB_PUSH_INSTRUCTIONS.md,.md,8480,F551346F896197188052C2DBA552B5BDF42E9D00792E8C50AD3901FA588B6A4A,AI-IDP-10-ROOT-AND-DELIVERABLES.zip,True
GOVERNANCE.md,.md,2687,1D3870552D4F1AA05B4517E5A0746DBB3D8799BC9802DC937AD1E4390DC6EF37,AI-IDP-10-ROOT-AND-DELIVERABLES.zip,True
government/AIA_EXTENSION_PROPOSAL.md,.md,3555,FAB8C44D44C85376CA05C674B62A6C31C3F87A2DCDD7EF7948EA94935ADE756C,AI-IDP-04-GOVERNMENT.zip,True
government/CANADIAN_NATIONAL_PROJECT_PROPOSAL.docx,.docx,46795,95ECA776E4C4A6BE2215F31ADA9DA171B16AE5FC874E9998C31FF7429A8A88B8,AI-IDP-04-GOVERNMENT.zip,True
government/CANADIAN_NATIONAL_PROJECT_PROPOSAL.md,.md,28190,A30E9FD95C966D206424A5D93CD9EC2136F5D96A1B5DC0E59ED7ED61A03A6C19,AI-IDP-04-GOVERNMENT.zip,True
government/CANADIAN_NATIONAL_PROJECT_PROPOSAL.pdf,.pdf,2962578,08BDABA5496D9D803404C02132BFD2A53F89E59B298B1EE24FBD24B4B3F91F74,AI-IDP-04-GOVERNMENT.zip,True
government/CANADIAN_POLICY_WHITE_PAPER.md,.md,10897,0EDC4132FE5913697A921E79FDC830265D2DEAC0AF35B9B47AA247F0A0B6D96D,AI-IDP-04-GOVERNMENT.zip,True
government/CANADIAN_POLICY_WHITE_PAPER.pdf,.pdf,2948041,592D8C03E92DCFE6F0091ADC979EFFD8D786A44F6F4505AEE241611B4EFB6388,AI-IDP-04-GOVERNMENT.zip,True
government/CHARTER_ANALYSIS.md,.md,6900,92B17D84385CCC67EEBDA321DAB7039842C20205A037AD17900D1363EDFF01B4,AI-IDP-04-GOVERNMENT.zip,True
government/CHARTER_ANALYSIS.pdf,.pdf,2945333,3705D5F2057C4789242BB025840DFC86F719DCC75F9796EC30D5F78698E22DBE,AI-IDP-04-GOVERNMENT.zip,True
government/DOCUMENT_OFFICIEL_PROJET_FR.md,.md,18240,AED365A7B7DD8B16C60892E9695594755324D51125912D14204831C5A5E545A2,AI-IDP-04-GOVERNMENT.zip,True
government/FEDERAL_PROCUREMENT_PROFILE.md,.md,3597,CE2404D20029E321BC14E840E01C73FDD6E8F2228608C5C0166B92D5FBC32BDF,AI-IDP-04-GOVERNMENT.zip,True
government/FEDERAL_PROVINCIAL_JURISDICTION_ANALYSIS.md,.md,7966,57B82F66DF271719D62AFDCF476C38FB3212297FA37BAA2B477F93A111E03A3F,AI-IDP-04-GOVERNMENT.zip,True
government/FEDERAL_PROVINCIAL_JURISDICTION_ANALYSIS.pdf,.pdf,2945996,80287F3FEE883ABF0CED32E209A5C9255E33DEFDA853AFF07BE472FAB43A0845,AI-IDP-04-GOVERNMENT.zip,True
government/NOTE_DE_SYNTHESE_FR.md,.md,9138,B5C857082F7E9A6D2E35C6E46E4086A934414B3204F30E3D0DACF565AF94CC66,AI-IDP-04-GOVERNMENT.zip,True
government/NOTE_DE_SYNTHESE_FR.pdf,.pdf,2949617,6ABA6842FC51CB8454F1739AA615F9B7194B2D045AD48DF51C9E02BBFAAFF774,AI-IDP-04-GOVERNMENT.zip,True
government/OFFICIAL_PROJECT_DOCUMENT_EN.md,.md,14792,423D49AF27A80D1C2634EA8912FC3C9CE73ECE601D18D606FA6CCA5D6147973F,AI-IDP-04-GOVERNMENT.zip,True
government/PRIVACY_AND_HUMAN_RIGHTS_ANALYSIS.md,.md,6540,70127810784D4D431962CA9CF04742F82FA3DF5389F5D23D20441F1B0ECDEEF1,AI-IDP-04-GOVERNMENT.zip,True
government/PRIVACY_AND_HUMAN_RIGHTS_ANALYSIS.pdf,.pdf,2944479,8D39D6CB3285CBCB512EB27F60ED7CAC13B0E74365F102C8B3CF71F74F424135,AI-IDP-04-GOVERNMENT.zip,True
government/PROPOSED_AI_ACTOR_IDENTITY_AND_TRACEABILITY_ACT.md,.md,8083,3A1A1256A1BF8246765483F8E5D0E55A7D7B0974472150E729B75CA96A54723C,AI-IDP-04-GOVERNMENT.zip,True
HERMES_HANDOFF_PROMPT.md,.md,8038,4B0BA49817A96A9CAE633DDA8E43749BE7FC71D18B144FDC5990291C37F89199,AI-IDP-10-ROOT-AND-DELIVERABLES.zip,True
impact/business-and-operations/BUSINESS_AND_OPERATIONS_IMPACT_REPORT.md,.md,20345,06A2CF6BA80E9719E3BEF7CA9B176D2077F1CDF6D0772ABDF2E6D0CBB9EC144F,AI-IDP-05-IMPACT-REPORTS.zip,True
impact/business-and-operations/BUSINESS_AND_OPERATIONS_IMPACT_REPORT.pdf,.pdf,2955465,D6B3A99F5B0DF3FC03598A983A41405858C1AA80A104FFDC9401AA1C5F2EDA5F,AI-IDP-05-IMPACT-REPORTS.zip,True
impact/human-resources/HR_AND_LABOUR_IMPACT_REPORT.md,.md,13340,30F3376ADEE86D3E5765212BFECE9989EB9AA6C8913BB0FDDC8A4AC2314115F7,AI-IDP-05-IMPACT-REPORTS.zip,True
impact/human-resources/HR_AND_LABOUR_IMPACT_REPORT.pdf,.pdf,2949449,3D5E0FF17CB794176E279DB2D0D6E19CD1F6F406B10BF8D6DD8DDF5622FF4DCA,AI-IDP-05-IMPACT-REPORTS.zip,True
impact/IMPACT_CANADIEN_FR.md,.md,4589,3DA3C97CE67FAA74DE604CCD075FA32AA49E7DF879B3EB3FC0209488992BBABF,AI-IDP-05-IMPACT-REPORTS.zip,True
impact/IMPACT_CANADIEN_FR.pdf,.pdf,2944395,094790CFA8CD3627266EDFEAF53B30EA2EAE3FA206995474B4E7985B0339EFD4,AI-IDP-05-IMPACT-REPORTS.zip,True
impact/societal/SOCIETAL_IMPACT_ASSESSMENT.md,.md,13661,8E4149F7AE975C5F73CE179BDA63AA94573BF37173983E13E2DE6BFE2AD4C12E,AI-IDP-05-IMPACT-REPORTS.zip,True
impact/societal/SOCIETAL_IMPACT_ASSESSMENT.pdf,.pdf,2949513,25DDB1838A07A3CECDE6ED24FA19116E199D765FF7B8F5FD9D3CCC1C15014C91,AI-IDP-05-IMPACT-REPORTS.zip,True
LICENSE,<none>,560,7D450F83D78D07ED4E9FA5A5FAEB9565ED63333CFA9BEC9B7B2E19F581564E33,AI-IDP-10-ROOT-AND-DELIVERABLES.zip,True
LICENSING_STATUS.md,.md,2318,1702948AC05403D089FED882EED47E738D840FBF88639DC92F6C066AF2DBACA0,AI-IDP-10-ROOT-AND-DELIVERABLES.zip,True
LIMITATIONS.md,.md,3065,325880C24F5D014C9F268B21C5AF2511CA30A5DC6D0003CDFC1FB1916AF72B25,AI-IDP-10-ROOT-AND-DELIVERABLES.zip,True
LINKEDIN_CONTENT_TEMPLATES.md,.md,16664,0895EF08BA709D131F46F76C268E3C42AFE5830B4F84F160E5F3C6FCAFFB91DA,AI-IDP-10-ROOT-AND-DELIVERABLES.zip,True
Makefile,<none>,1814,CCFF6A75B0D5D796BB8A8805A6885ED559C5D95B5B3A9675C41C39F42770D61D,AI-IDP-02-SOURCE-CODE.zip,True
MASTER_HANDOFF.md,.md,1894,793E974462103BE3F9AA70E982C559CA8F3B2ED08EDD2B314C8DE8B2B8196F99,AI-IDP-10-ROOT-AND-DELIVERABLES.zip,True
NOTICE.md,.md,3842,A35D3AEB1D087A55D12A0683CE60DC3560FDD178E646156721115A9B0EA8AD95,AI-IDP-10-ROOT-AND-DELIVERABLES.zip,True
OFFICIAL_EMAIL_TEMPLATES.md,.md,23012,1AAF0CA1A80A45DE6DB50F59EFC190714C11F888DF7BA7E0E3D30632FB464C0F,AI-IDP-10-ROOT-AND-DELIVERABLES.zip,True
OFFICIAL_PROJECT_DOCUMENT_EN.pdf,.pdf,2953201,34D9975E76FC152DC755D76C88C8DC728350F89AB5F2CACE1E88F0203A5BC932,AI-IDP-10-ROOT-AND-DELIVERABLES.zip,True
originals/CI-Logo-3D-Hexagon-Gold-Cyan-Violet_Official-Brand-Identity-Transparent-V2.png,.png,1586326,E62028872D4004DEB8908E38E6085784BA1BBD733E7404D0376EF64D6E296822,,False
originals/CI-Logo-Brand-Lockup-Horizontal_Cognitive-Industries-Bilingual-Gold-Text-Transparent.png,.png,2216173,C5ED7859F5D7CD5AC4CD174C42F9D0437AE7A2511D9BA25925A3375292ED1D19,,False
originals/Cognitive_industries_Brandcard_guidelines_and_branding_id.png,.png,2744095,B637F33261EF2E830E807DD00AA3AC6811A6F29E3120D229B09A9B0D8DBBCBF9,,False
originals/SHA256SUMS.txt,.txt,428,F973CEFA32A6DA3988FC862E8A31271E1FED2CDA88EF7C2CA829008A95187BA1,,False
paper/aegis-trace-arxiv.pdf,.pdf,90633,1D647F0E8D773B09729B1312A1494A7CD501EA8F7596F48E37F0039DDD9680B1,AI-IDP-01-ARXIV-PAPER.zip,True
paper/AI_ASSISTANCE_DISCLOSURE.md,.md,2326,3846EE6D264C70E9617E4E4C170F40839AF6E6AE2D9E06CBE5A1FA35B05D17FA,AI-IDP-01-ARXIV-PAPER.zip,True
paper/arxiv_metadata.md,.md,1480,203C1FC98A3205B7CA8D78B01784FC5182871A550132214DD556B179C24A57A5,AI-IDP-01-ARXIV-PAPER.zip,True
paper/AUTHOR_CONTRIBUTIONS.md,.md,1884,E13612A1A54C64F78AA19C54CE868ADE114C6F34BC5BEC8A6BE8C6FA87D590C7,AI-IDP-01-ARXIV-PAPER.zip,True
paper/author_metadata.md,.md,1662,D8BF55F674D9A149E6FCE4FA2ABAD2504F08516A360D31B0AE1608B9BB13E0E0,AI-IDP-01-ARXIV-PAPER.zip,True
paper/COMPETING_INTERESTS.md,.md,1183,357F1A25077B847C04D1F3589620484E073185E7DBC509726DF624DE01D49E9B,AI-IDP-01-ARXIV-PAPER.zip,True
paper/DATA_AND_CODE_AVAILABILITY.md,.md,2010,F15E4BC10AA82CD625AE335E1A01ACDB27640E376082423A3244BE7EFB0CD8CD,AI-IDP-01-ARXIV-PAPER.zip,True
paper/main.blg,.blg,194,F7F776F61E365E48EF4E36E855330A84656940380F2BED652C3C9060F7936D1A,,False
paper/main.log,.log,22357,A05AFAF6870F6BF9892DFB6683D79C2EA432F51ECAFC63C41B065D6647E168F9,,False
paper/main.pdf,.pdf,90633,1D647F0E8D773B09729B1312A1494A7CD501EA8F7596F48E37F0039DDD9680B1,AI-IDP-01-ARXIV-PAPER.zip,True
paper/main.tex,.tex,41411,06B493AFDEF9C7AC428D2464E354E621CA5E834F55151235A3155C68DF8C0EA0,AI-IDP-01-ARXIV-PAPER.zip,True
paper/README_SUBMISSION.md,.md,5370,1553124915AB19FAD288C8E240F79BC9E0F36C29D6CB9F3268DB57FBD7C00504,AI-IDP-01-ARXIV-PAPER.zip,True
paper/references.bib,.bib,15624,D3079444D1E64188D134A2ADCE0D5D1B86A033CB484045177D486C351F22826C,AI-IDP-01-ARXIV-PAPER.zip,True
paper/REPRODUCIBILITY_STATEMENT.md,.md,1946,FBDA1836BED921AEB728F84E7DAA9247BD88A7C2B0210D2748C13437BAD38F02,AI-IDP-01-ARXIV-PAPER.zip,True
PRIVACY.md,.md,3304,1FFC6F5E953436D3FC71AD10547F2B809C68ECDDB11CA589BF965887DFCBA195,AI-IDP-10-ROOT-AND-DELIVERABLES.zip,True
project-control/ARTIFACT_MANIFEST.csv,.csv,17811,B2F5626586E51C76C7C8250DE26DC4B4760591AD9EDEF51835F5449552E46513,AI-IDP-08-PROJECT-CONTROL.zip,True
project-control/ASSUMPTION_REGISTER.md,.md,6074,D5ED5984F6C58BF69D72EC84A52E22CF4D68DD0A867DD13D6574E8BD2B629409,AI-IDP-08-PROJECT-CONTROL.zip,True
project-control/AUDIT_REPORT_v2.0.0.md,.md,541,DB4CE876D22D0A11541AA45B546C5FA4011D58BDFF2AAD8818F97F1D161FE0FC,AI-IDP-08-PROJECT-CONTROL.zip,True
project-control/BLOCKER_REGISTER.md,.md,5266,22D67AEBE5A41ADC3DE05C22ED0D3216FFD6C3825F93F6FF269A9E2F0AA14F16,AI-IDP-08-PROJECT-CONTROL.zip,True
project-control/CHECKPOINT.md,.md,3950,AA5BDD60BFA1E0A23C1BFE32F1D60E28160E3399D125A2D999C61D7CD6525A30,AI-IDP-08-PROJECT-CONTROL.zip,True
project-control/DECISION_LOG.md,.md,8710,59E65DCF031F0A6FD3E54F19904566F052FAE4B75D3301269B75EF637F02FEBE,AI-IDP-08-PROJECT-CONTROL.zip,True
project-control/HANDOFF.md,.md,2805,261700F73E94CFDAA9720552F76A9D177B7F116D77331C48C870FA7F29147F1E,AI-IDP-08-PROJECT-CONTROL.zip,True
project-control/LEGAL_STATUS_UPDATE_v1.1.0.md,.md,11801,3033309662F37CBEA7376CC1CEB1657DC415F3861766F1ADDA6A2C5FC1EBE5D3,AI-IDP-08-PROJECT-CONTROL.zip,True
project-control/LEGAL_STATUS_UPDATE_v2.0.0.md,.md,12904,69700D52AA40BCEF4454780DEEF0BF8ACCA294DAF625D0E0488EC5D8795906D8,AI-IDP-08-PROJECT-CONTROL.zip,True
project-control/MASTER_TASK_GRAPH.json,.json,4548,080F842DA85C9227837402387F81F3B8FC0114153AB150735724B994CF748DD5,AI-IDP-08-PROJECT-CONTROL.zip,True
project-control/MISSING_AUTHOR_DATA.md,.md,3077,4D0CD286FB03855C7F681E78CEE186A904F259F874B2E98DCCF36BB23F642518,AI-IDP-08-PROJECT-CONTROL.zip,True
project-control/PROJECT_STATUS.md,.md,5456,A4A821C615FF74CCEBFABDE61B5B9FA9F06AC2D589225DDAEA9A3E7908CEC685,AI-IDP-08-PROJECT-CONTROL.zip,True
project-control/PROTOCOL_DEVIATIONS.md,.md,1923,36102C2ACD7EFE2AFD56F41CDA62F091029D0BB45B2375A7556E0F40E72BD976,AI-IDP-08-PROJECT-CONTROL.zip,True
project-control/PUBLICATION_METADATA_STATUS.md,.md,3161,EED7AE146D9C1E2EDEB9B1D9DA26BD441CA49F54A27D278120E874955F89E647,AI-IDP-08-PROJECT-CONTROL.zip,True
project-control/RECOVERY_INSTRUCTIONS.md,.md,2834,651383021493F11EC6A71DEF409A2655364EC5F37EC2785C5F23D22F583B5EC7,AI-IDP-08-PROJECT-CONTROL.zip,True
project-control/RISK_REGISTER.md,.md,3640,D42D095315DEF924671E8448CE363EFD5B9795763CBDAC4021D9A74ED0F1EA97,AI-IDP-08-PROJECT-CONTROL.zip,True
project-control/RUN_LOG.jsonl,.jsonl,13173,014E8785DA108E58131DEF21FB86B254532E511A93FE33652A9B5E9E29078E41,AI-IDP-08-PROJECT-CONTROL.zip,True
project-control/SOURCE_GAP_REGISTER.md,.md,2344,1ED65BFFE53172A3AF9BD08C7FE57AB1238CED0363C4F0D056E0C36CD284854A,AI-IDP-08-PROJECT-CONTROL.zip,True
project-control/VALIDATION_STATUS.md,.md,6756,AAB06CB6561B9A8EEA470D7F932C290C63D0FF8E3E7B865D183D4F8EBDA66B62,AI-IDP-08-PROJECT-CONTROL.zip,True
project-control/VERIFIED_AUTHOR_DATA.md,.md,7338,404767CF83214100BCA2399A63BF32DEE54A627E1637F3BE0C99BC31A37D80CD,AI-IDP-08-PROJECT-CONTROL.zip,True
project-control/VERIFIED_CONTACT_DATA.json,.json,3409,6757978CD607A134B761FDDD2B16B8D663C8B5948A7FCB7747F515D0E7FF416B,AI-IDP-08-PROJECT-CONTROL.zip,True
PROJECT_CHARTER.md,.md,4683,79BE70766F69506D3D79705199D25D7FE500532C48BDA0A635ECAEBE90A6A8FF,AI-IDP-10-ROOT-AND-DELIVERABLES.zip,True
PROJECT_SCOPE_LOCK.md,.md,2286,644E7EB95A3D13E3B4F5AD9E28B39804B5E1DA333B051201E7ECEBE995F04599,AI-IDP-10-ROOT-AND-DELIVERABLES.zip,True
PUBLISHING_CONTENT.md,.md,9184,7E3C11DE0E6996AA9541154B4314865E27E86E1473E14B9F307EBC4B36EC8902,AI-IDP-10-ROOT-AND-DELIVERABLES.zip,True
pyproject.toml,.toml,1935,399586A7B6233DB662C3778AFEA074949256D07047712BEAAF899821C1258FAB,AI-IDP-02-SOURCE-CODE.zip,True
README.md,.md,10811,6A6CFD0C2A1A09830E8E21001C8BD3A3B94364B1243E694EA41BEE39F2B73E15,AI-IDP-10-ROOT-AND-DELIVERABLES.zip,True
release/CHECKSUMS.sha256,.sha256,26237,18F2833BC1959EF22442F1483C1DA45F369F098F651128283285B164309AB37B,AI-IDP-08-PROJECT-CONTROL.zip,True
release/FINAL_COMPLETION_REPORT.md,.md,12872,73300D18259E4DC7EB73FAB3CFF355A1C5AC32080BB6C7190FE7122282F4B6BC,AI-IDP-08-PROJECT-CONTROL.zip,True
release/metadata/author.json,.json,912,8289D37366FA62C5B7BECD6BA9E5510059168532417FBA7D0B895167F2328BA7,AI-IDP-08-PROJECT-CONTROL.zip,True
release/metadata/contact.json,.json,1540,650955E9A613DA150D999F28719904E8D46AB09681BF226A03CC0A94E8B6B35A,AI-IDP-08-PROJECT-CONTROL.zip,True
release/metadata/organization.json,.json,1567,EEBDE68315AE08080061831F023AB90A500CE395D6ACCCB6DDC44EA279AD3355,AI-IDP-08-PROJECT-CONTROL.zip,True
release/metadata/publication_metadata.json,.json,2534,3A95224FD56F97BA98D950084D15D39A424E91B718D63650F7DD1CDDFAD60827,AI-IDP-08-PROJECT-CONTROL.zip,True
release/NUMBERED_ARCHIVES.sha256,.sha256,948,19853A921BD03669C98E61A38FC0C4DE5303C9FA6F39C982245B972F6F364A1D,,False
